alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Fibres (g/100 g)
Figue, crue;67.6;1.19;13.5;0;4.1
Figue, sèche;261;2.9;55;1.22;8.15
Fraise, crue;35.1;0.63;6.03;0;3.8
Framboise, crue;47.9;1.19;5.83;0.8;4.3
Fruit de la passion ou maracudja, chair sans peau, avec pépins, cru;102;2.13;10.9;3;6.8
Grenade, chair sans peau, avec pépins, crue;81;1.44;14.3;1.2;2.3
Groseille, crue;67.2;1.56;7.06;0.7;4.6
Groseille à maquereau, crue;39.4;0.88;4.45;0.58;4.3
Kiwi, chair sans peau, avec pépins, cru;60.9;0.88;11;0.6;2.4
Litchi, chair sans peau, sans noyau, cru;77.5;1.13;16.1;0;2
Clémentine ou mandarine, chair sans peau, sans pépins, crue;45.5;0.81;9.17;0;1.7
Mangue, chair sans peau, sans noyau, crue;71.1;0.63;14.3;0;1.6
Melon cantaloup (par ex.: Charentais), chair sans peau, sans pépins, cru;59.8;1.13;14.8;0;1.3
Prune mirabelle, sans noyau, crue;74.6;0.63;18;0;2.2
Myrtille, crue;57.7;0.87;10.6;0.33;2.4
Mûre (de ronce), crue;46;1.13;6.53;0.7;5.2
Olive noire, en saumure, égouttée;173;1.38;0;17.2;6.2
Olive verte, en saumure, égouttée;164;1.13;0.61;16.6;3.6
Orange, chair sans peau, sans pépins, crue;42;0.75;8.03;0;2.7
Papaye, chair sans peau, crue;39.6;0.75;8.53;0;1.8
Pastèque, chair sans peau, sans pépins, crue;35.4;0.69;8.33;0;0.5
Poire, chair et peau, crue;56.6;0.36;12.3;0.27;2.9
Compote de pomme, préemballée;107;0.25;25.8;0.23;1.54
Pomme, chair et peau, crue;54;0.25;11.6;0.25;1.4
Pomelo (dit Pamplemousse), chair sans peau, sans pépins, cru;33.5;0.84;5.92;0;1.1
Prune Reine-Claude, sans noyau, crue;69;0.94;16.4;0;1.7
Pruneau, sans noyau, sec;229;1.63;55.4;0.4;5.1
Pêche, chair et peau, sans noyau, crue;37.9;0.91;7.55;0.25;1.5
Raisin blanc, à gros grain (type Italia ou Dattier), cru;71.6;0.75;16.6;0;1
Raisin noir, cru;69.5;0.57;15.6;0.25;1.43
Raisin sec;322;3;73.2;0.9;4.2
Rhubarbe, tige, crue;18.1;0.73;1.12;0.16;1.8
Mélange apéritif de fruits exotiques, sec;389;2.19;69.5;10.5;3.4
Carambole, chair et peau, crue;28.4;1.04;3.83;0.33;2.8
Cerise acérola, chair et peau, sans noyau, crue;32.86;0.4;6.59;0.3;1.1
Anone ou chérimole, chair sans peau, crue;80;1.57;15.4;0.68;3
Feijoa, chair sans peau, crue;52.22;0.71;8.2;0.42;6.4
Figue de Barbarie, chair et peau, avec pépins, crue;51.5;0.12;9.79;0.11;5.3
Kaki, chair et peau, cru;66;0.88;14.3;0;3.4
Citron vert ou lime, chair sans peau, sans pépins, cru;39.3;1.13;3.14;0;4.3
Mûre noire (du mûrier), crue;45.07;1.44;8.1;0.39;1.7
Ramboutan ou rambutan, chair sans peau, sans noyau, crue;86.29;0.65;20;0.21;0.9
Tamarin, fruit mûr, chair sans peau, avec pépins, cru;256.4;2.8;57.4;0.6;5.1
Goyave, chair sans peau, crue;68.3;2.55;9.02;0.95;5.4
Pomme Canada, chair sans peau, crue;51.1;0.4;11.6;0.1;1.6
Pomme Golden, chair sans peau, crue;50.4;0.25;11.7;0;2.5
Banane, chair sans peau, sèche;365;3.89;78.4;1.81;9.9
Prune, sans noyau, crue;51.6;0.7;9.92;0.28;1.4
Raisin Chasselas, cru;77.8;0.75;16.9;0.5;2
Griotte, crue;52.3;1;10.6;0.3;1.6
Pomme, sèche;247;0.93;55;0.32;8.7
Canneberge ou cranberry, crue;46.75;0.88;7.6;0.17;5.65
Pêche, chair et peau, sans noyau, sèche;329;5;65.4;1;14.3
Pruneau, sans noyau, cuit;7.08;1.23;0;0.24;0
Pomme Granny Smith, chair sans peau, crue;51;0.25;11.4;0;2.6
Pomme Granny Smith, chair et peau, crue;48.6;0.25;10.7;0;2.8
Citron, zeste, cru;51.5;1.5;5.4;0.3;10.6
Sureau, baie, crue;66.74;0.66;11.4;0.5;7
Chayote ou christophine ou chouchou, crue;19.1;0.82;2.8;0.13;1.7
Compote, tout type de fruits, allégée en sucres, préemballée, rayon frais;63.8;0.17;14.7;0.07;1.89
Olive noire, à l'huile (à la grecque);349;2.19;4.33;33.3;11.6
Myrtille, surgelée, crue;48.44;0.42;8.9;0.64;2.7
Salade de fruits, crue;79.3;0.61;18;0.24;1.36
Framboise, surgelée, crue;49.5;1;7;0.5;6.5
Olives vertes, fourrées ou farcies (anchois, poivrons, etc.);156;2.09;1.17;15.2;3
Nectarine ou brugnon, jaune, chair et peau, sans noyau, crue;49.5;0.69;11.3;0;0.6
Nectarine ou brugnon, blanche, chair et peau, sans noyau, crue;49.5;0.81;11.4;0;0
Mûre (de ronce), surgelée, crue;61.39;1.18;10.7;0.43;5
Compote de pomme, allégée en sucres, rayon ambiant;64.3;0.25;15.1;0.13;1.3
Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes), préemballé, rayon ambiant;89.3;0.33;20.6;0.21;1.95
Purée de fruits, tout type de fruits, type "compote sans sucres ajoutés", rayon ambiant;56.4;0.25;13.3;0;1.7
Spécialité de fruits, tout type de fruits, sucrée (mélange chairs et/ou purées de fruits, mais toujours avec autre ingrédient), préemballée, rayon ambiant;72.7;0.28;16.5;0.41;1.71
Petit pot fruit avec banane pour bébé;56.6;0.6;12.1;0;2.3
Petit pot fruit sans banane pour bébé;49.2;0.29;10.9;0;2.07
Boisson aux fruits pour bébé dès 4/6mois;35.1;0.25;8.57;0;0
Boisson à base de plantes pour bébé;23.2;0.25;5.8;0;0
Boisson infantile céréales lactées aux légumes pour dîner dès 4/6 mois;82.1;2.14;11.6;2.83;0.9
Boisson infantile céréales lactées aux fruits pour le goûter dès 4/6 mois;67.6;1.75;7.7;3;1.5
Boisson infantile céréales lactées pour le petit déjeuner dès 4/6 mois;80.7;1.98;12.1;2.7;0
Dessert infantile lacté type crème dessert;87;3.32;11.3;3.1;0
Dessert infantile lacté au riz ou à la semoule;90.8;3.45;11.7;3.3;0
Dessert infantile lacté, sucré, nature ou aux fruits;97;3.19;12.5;3.5;0
Céréales instantanées, poudre à reconstituer, dès 4/6 mois;393;5.1;88.3;1.7;1.8
Céréales instantanées, poudre à reconstituer, dès 6 mois;391;10;81.1;2;4.3
Boisson infantile céréales lactées pour le petit déjeuner dès 8/9 mois;81.2;2.36;11.6;2.8;0
Boisson infantile céréales lactées pour le petit déjeuner dès 12 mois;86.3;2.23;12.6;2.78;1.1
Boisson infantile lactées aux fruits pour le goûter dès 4/6 mois (sans céréales);72.5;1.85;10.4;2.6;0
Boisson infantile céréales lactées aux légumes pour diner dès 12 mois;177.67;0;23.6;8.93;1.45
Boisson infantile céréales lactées pour le petit déjeuner;85.5;1.9;12.7;2.89;0.6
Spécialité de fruits, tout type de fruits, sans sucres ajoutés (mélange chairs et/ou purées de fruits, mais toujours avec autre ingrédient), préemballée, rayon ambiant;58.3;0.32;12.7;0.37;1.91
Pomme, chair sans peau, rôtie/cuite au four;52.7;0.16;12.9;0;0
Pomme, chair sans peau, bouillie/cuite à l'eau;54;0.26;11.2;0.36;2.4
Chayote ou christophine ou chouchou, bouillie/cuite à l'eau;21.6;0.62;2.29;0.48;2.8
Canneberge ou cranberry, séchée, sucrée;332;0.25;76.4;1;5.7
Pomelo (dit Pamplemousse) jaune, chair sans peau, sans pépins, cru;35.1;0.69;7.31;0.1;1.1
Pomelo (dit Pamplemousse) rose, chair sans peau, sans pépins, cru;32.34;0.77;6.2;0.14;1.6
Boisson infantile céréales lactées (aliment moyen);86;2.22;12.6;2.78;1.11
Baie de goji, séchée;300;12.1;49;2.9;11.8
Olive (aliment moyen);165;1.29;0.65;16.6;3.83
Compote ou assimilé, tout type de fruits, sans précision sur la teneur en sucres (allégée en sucres ou non, sans sucres ajoutés…) ni sur le rayon (aliment moyen);80.2;0.26;19.1;0.16;1.65
Olive noire (aliment moyen);182;1.41;0.26;18;6.46
Purée de pommes, type "compote sans sucres ajoutés", rayon ambiant;56.4;1.13;11.6;0.28;1.7
Poire Conférence, chair sans peau, crue;49.1;0.25;11.4;0;3.1
Poire Williams, chair sans peau, crue;50.2;0.25;11.5;0;3.1
Pomme Chantecler, chair sans peau, crue;47.2;0.25;11.2;0;1.9
Pomme Gala, chair sans peau, crue;51.6;0.25;11.9;0;1.9
Pomme Pink lady, chair sans peau, crue;57.3;0.25;12.8;0;2.9
Pêche blanche, chair et peau, sans noyau, crue;44.3;0.69;9.48;0;2.1
Pêche blanche, chair sans peau, sans noyau, crue;44.3;0.63;9.63;0;1.1
Pêche jaune, chair sans peau, sans noyau, crue;44.5;0.69;9.8;0;1
Compote, tout type de fruits autres que pomme seule, allégée en sucres, préemballée, rayon ambiant;65.7;0.25;15.4;0.2;1.6
Mangue José, chair sans peau, sans noyau, crue, prélevée à La Réunion (Mangifera indica L.);88.8;0.75;19.3;0.5;1.8
Ananas Victoria ou Queen Victoria, chair sans peau, crue, prélevé à La Réunion;69.8;0.94;15.1;0;2.4
Papaye Colombo (fruit mûr), chair sans peau, sans pépins, crue, prélevée à La Réunion (Carica papaya L.);38;0.56;7.88;0;2.2
Rhubarbe, tige, cuite;18.8;0.94;1.35;0;2.3
Compote de pêche, préemballée;106;0.63;24.9;0.1;1.65
Compote d'abricot, préemballée;103;0.72;24.1;0.1;1.47
Compote de rhubarbe, préemballée;111;0.57;25.8;0.07;2.38
Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes), préemballé, rayon frais;77.3;0.35;17.7;0.22;1.78
Spécialité de fruits divers, sucrée (mélange chairs et/ou purées de fruits, mais toujours avec autre ingrédient), préemballée, rayon frais;79.2;0.36;18.2;0.22;1.87
Spécialité de fruits, tout type de fruits, sans sucres ajoutés (mélange chairs et/ou purées de fruits, mais toujours avec autre ingrédient), préemballée, rayon frais;55.6;0.38;12.2;0.3;1.8
Purée de fruits, tout type de fruits, type "compote sans sucres ajoutés", préemballée, rayon frais;58.7;0.43;12.7;0.29;2.02
Compote, autres fruits, préemballée;101;0.25;23.9;0.07;2
Compote de pomme, sans précision sur la teneur en sucres ni sur le rayon (aliment moyen);93.5;0.25;22.4;0.2;1.46
Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes), préemballé, sans précision sur le rayon (aliment moyen);84.4;0.34;19.4;0.22;1.88
Purée de fruits, tout type de fruits, type "compote sans sucres ajoutés", sans précision sur le rayon (aliment moyen);56.4;0.25;13.3;0.15;1.7
Spécialité de fruits, tout type de fruits, (mélange chairs et/ou purées de fruits, mais toujours avec autre ingrédient), sans précision sur la teneur en sucres ni sur le rayon (aliment moyen);72.7;0.28;16.5;0.41;1.71
Raisin cru (aliment moyen);71;0.7;16.3;0.25;1.11
Pomme, chair sans peau, crue (aliment moyen);51.3;0.26;11.9;0.24;2.39
Poire, chair, crue (aliment moyen);49.7;0.25;11.4;0;3.1
Pêche, chair sans peau, sans noyau, crue (aliment moyen);44.4;0.67;9.74;0;1.03
Nectarine ou brugnon, chair et peau, sans noyau, crue (aliment moyen);49.5;0.74;11.3;0;0.47
Abricot pays, chair et peau, sans noyau, au sirop, appertisé, non égoutté, prélevé à la Martinique;58.82;0.28;13.3;0.1;1.8
Abricot pays, chair et peau, sans noyau, cru, prélevé à la Martinique;51.77;0.48;10.8;0.05;3.1
Ananas, chair sans peau, cru , prélevé à la Martinique;2.24;0.56;0;0;0
Caïmite (ou pomme étoile ou pomme de lait), chair sans peau, cru, prélevé à la Martinique;27.07;0.31;0;2.87;0
Cerise acérola, chair et peau, sans noyau, crue, prélevée à la Martinique;3.11;0.56;0;0.1;0
Chadèque, chair sans peau, sans pépins, cru, prélevé à la Martinique;4.62;0.48;0;0.3;0
Chips d'abricot pays, prélevé à la Martinique;459.34;0.96;68.7;18.7;6.2
Goyave, chair sans peau, purée, prélevée à la Martinique;3.38;0.83;0;0.01;0
Jus de carambole, prélevé à la Martinique, jus filtré;1.35;0;0;0.15;0
Jus de carambole, prélevée à la Martinique, jus non filtré;0.52;0.06;0;0.03;0
Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique;3.18;0.48;0;0.14;0
Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique;6.9;0.69;0;0.46;0
Jus de corossol, prélevé à la Martinique;6.47;0.65;0;0.43;0
Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus;7.65;1.08;0;0.37;0
Jus de grenade, prélevée à la Martinique;2.76;0.69;0;0;0
Jus de lime, pur jus, prélevé à la Martinique;6.53;0.35;0;0.57;0
Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique;37.6;0;9.4;0;0
Jus de mandarine commune, pur jus filtré, prélevée à la Martinique;42.1;0.61;8.63;0.57;0
Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique;45.5;0.6;10.8;0;0
Jus de moubin, pur jus, prélevé à la Martinique;5.23;0.88;0;0.19;0
Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique;3.39;0.42;0;0.19;0
Jus de prune de cythère verte "géante" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique;33.4;0.29;7.13;0.19;1
Jus de prune de cythère verte "géante" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique;32;0.44;6.55;0.28;0.8
Jus de prune de cythère verte "naine" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique;46.4;0.69;9.97;0.21;0.9
Jus de prune de cythère verte "naine" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique;31.9;0.67;6.34;0.26;0.8
Mandarine commune, chair sans peau, sans pépins, au sirop, appertisée, non égouttée, prélevée à la Martinique;71;0;17.4;0;0.7
Mango bassignac, chair sans peau, sans noyau, cru, prélevé à la Martinique;81.68;0.32;18.5;0;3.2
Mangue moussache, chair sans peau, sans noyau, crue, prélevé à la Martinique;92.72;1.28;20.9;0;2
Mangue julie, chair sans peau, sans noyau, crue, prélevée à la Martinique;81.64;0.71;18.3;0;2.8
Mangue verte, chair sans peau, sans noyau, crue, prélevée à la Martinique;60.84;1.31;12.2;0;3.4
Melon, chair sans peau, sans pépins, cru, prélevé à la Martinique;4.74;1.08;0;0.05;0
Orange (variété locale), chair sans peau, sans pépins, prélevée à la Martinique;8.43;0.6;0;0.67;0
Orange amère, chair sans peau, sans pépins, crue, prélevée à la Martinique;6.79;0.73;0;0.43;0
Pastèque, chair sans peau, sans pépins, crue, prélevée à la Martinique;5.42;0.77;0;0.26;0
Pomme cajou, chair et peau, crue, prélevée à la Martinique;4.15;0.79;0;0.11;0
Pomme cannelle, chair sans peau, sans pépins, crue, prélevée à la Martinique;11.05;1.48;0;0.57;0
Pomme d'eau ou pomme malaca, chair sans peau, sans noyau, crue, prélevée à la Martinique;1.97;0.44;0;0.02;0
Pomme liane, chair sans peau, avec pépins, crue, prélevée à la Martinique;5.5;0.88;0;0.22;0
Prune de cythère, chair et peau, avec pépins, mûre, crue, prélevée à la Martinique;2.43;0.54;0;0.03;0
Prune de cythère, chair et peau, avec pépins, verte ou immature, crue, prélevée à la Martinique;3.03;0.6;0;0.07;0
Fruit du jacquier ou jacque, chair sans peau, cru, prélevé à la Martinique;9.81;1.98;0;0.21;0
Fruit du jacquier ou jacque, chair sans peau, cru;98.04;1.72;20.6;0.64;1.5
Datte du désert, chair et peau, sans noyau, crue;139.3;1.5;31.3;0.1;3.6
Dourian ou durian, chair sans peau, sans noyau, cru;154.65;1.47;23.3;5.33;3.8
Kaki de brousse, fruit, cru;79.63;0.58;17.1;0.19;3.6
Kumquat, chair et peau, sans pépin, cru;66.66;1.88;9.6;0.86;6.5
Longan, chair sans peau, sans noyau, cru;64.34;1.31;14;0.1;1.1
Nèfle du Japon, chair et peau, sans noyau, crue;48.1;0.43;9.9;0.2;1.7
Prune violette, sans noyau, crue;46.4;0.8;9.6;0.1;1.94
Pamplemousse chinois, chair sans peau, sans pépins, cru;38.4;0.76;7.14;0.04;1
Pomme Golden, chair et peau, crue;54.1;0.25;12.8;0;1.4
Raisin noir Muscat, cru;86.6;0.69;20;0;2.7
Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%);200;2.31;51.1;0.4;3.5
Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen);67.9;0.59;15.5;0;1.4
Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen);64.9;0.25;15.2;0;2
Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté;71.3;0.25;16.8;0;2.1
Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté;74.8;0.25;17.8;0;1.26
Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté;59.1;0.25;13.7;0;1.9
Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté;59.7;0.25;14;0.06;1.18
Abricot au sirop léger, appertisé, égoutté;61.1;0.94;13.5;0;1.4
Abricot au sirop léger, appertisé, non égoutté;62.5;0.81;14;0.04;0.83
Abricot au sirop, appertisé, égoutté;69.6;0.5;16;0;1.4
Abricot au sirop, appertisé, non égoutté;69.7;0.29;16.3;0;0.81
Ananas au jus d'ananas, appertisé, égoutté;56;0.25;12.9;0;1.4
Ananas au jus d'ananas, appertisé, non égoutté;55;0.25;12.9;0;0.92
Ananas au sirop léger, appertisé, égoutté;65.8;0.25;15.3;0;1.6
Ananas au sirop léger, appertisé, non égoutté;66.5;0.25;15.6;0.08;1.01
Litchi, chair sans peau, sans noyau,  au sirop léger, appertisé, égoutté;62.8;0.63;14.3;0.19;1.1
Pêche, sans noyau, au sirop léger, appertisée, égouttée;59;0.5;13.5;0;1.5
Pêche, sans noyau, au sirop léger, appertisée, non égouttée;60;0.31;14;0.04;0.92
Poire au sirop léger, appertisée, égouttée;63.9;0.25;13.9;0.4;2.6
Poire au sirop léger, appertisée, non égouttée;62.6;0.3;14.5;0.12;1.23
Melon miel ou melon honeydew, chair sans peau, sans pépins, cru;22.2;0.54;4.3;0.14;0.8
Fruit séché (aliment moyen);267;2.13;61.3;0.56;6.43
Fruits rouges, crus (framboises, fraises, groseilles, cassis);45.5;1;7;0.5;4.5
Coulis de fruits rouges (framboises, fraises, groseilles, cassis);124;0.63;27.7;0.5;1.8
Fruit cru (aliment moyen);56.6;0.69;12.1;0.26;1.98
Chevreuil, viande rôtie/cuite au four;174;32.6;0;4.8;0
Sanglier, viande crue;150;21.5;0;7.14;0
Sanglier, viande rôtie/cuite au four;153;28.3;0;4.38;0
Lièvre, viande crue;111;21.6;0;2.67;0
Chevreuil, viande crue;110;23;0;2;0
Cerf, viande crue;114;23;0;2.42;0
Cerf, viande rôtie/cuite au four;150;30.2;0;3.19;0
Gibier à poil, cuit (aliment moyen);160;30.2;0;4.36;0
Amande, avec peau, sans sel ajouté;615;18.8;9.51;51.3;12.5
Cacahuète, sans sel ajouté;623;22.8;14.8;49.1;8.6
Cacahuète, grillée, salée;635;22.9;14.2;50.8;8.08
Noisette, sans sel ajouté;632;14.4;7.16;56.9;11.6
Noix, cerneau, séchée;709;13.3;6.88;67.3;6.7
Noix de coco, chair, fraîche;369;3.47;4.69;34.7;10.6
Noix de coco, chair, sèche;692;6.83;7.81;66.8;13.7
Noix du Brésil ou noix d'Amazonie, sans sel ajouté;701;14.3;4.23;67.1;7.5
Pistache, grillée, salée;617;18.9;15.9;49.5;9.32
Sésame, graine;606;17.7;12.8;49.7;11.8
Tournesol, graine;653;21.3;10.1;55.5;6.4
Crème de marron ou confiture de châtaigne, préemballée;278;0.95;65.9;0.66;2.28
Noix de coco, amande immature, fraîche;360;3.33;6.22;33.5;9
Purée de marrons, appertisée;102;2.28;22.8;0;0
Mélange apéritif de graines salées et fruits séchés;583;16.9;23.7;44.1;5.86
Mélange apéritif de graines salées et raisins secs;561;16.6;27.1;39.6;8.4
Noix de cajou, grillée, salée;632;15.2;26.7;49.5;3.85
Châtaigne, bouillie/cuite à l'eau;123;2;23;1.38;4.5
Châtaigne, grillée;211;3.34;41.1;1.7;7.1
Châtaigne, crue;189;2.02;36.8;1.76;8.1
Pignon de pin;712;13.7;2.93;68.4;10
Noix de pécan, sans sel ajouté;727;9.17;4.25;72;9.6
Noix de macadamia, sans sel ajouté;757;7.91;5.22;75.8;8.6
Graine germée de luzerne, crue;29.2;3.38;0.81;0.69;1.9
Graine germée de radis, fraîche, crue;35.69;3.23;0;2.53;0
Luzerne, graine;426;29.7;39.3;12.6;7.9
Noisette grillée, sans sel ajouté;684;14.4;8.81;62.4;9.4
Lin, graine;528;19;6.49;40.3;24.4
Sésame, graine décortiquée;620;20.4;10.3;51;11.6
Cacahuète, grillée à sec, salée;615;21.6;17.9;47.7;7.4
Sésame, grillé, graine décortiquée;582;17;9.14;48;16.9
Châtaigne ou marron, appertisé;145;1.96;28.8;1.4;4
Amande, émondée, sans sel ajouté;631;21.4;8.76;52.5;9.9
Amande, grillée, salée;647;20;12.2;53.9;8.46
Noix de macadamia, grillée, salée;724;7.04;9.95;70.2;9.5
Pistache, grillée, sans sel ajouté;631;18.4;14.9;51.6;10.2
Tournesol, graine, grillé, salé;626;21.2;12.7;51;8.3
Noix de pécan, salées;731;10.2;5;73;3
Chia, graine, séchée;454;16.5;7.72;30.7;34.4
Mélange apéritif de graines et fruits séchés, sans sel ajouté;493;8.29;51;26.3;6.36
Mélange apéritif de graines et raisins secs, sans sel ajouté;541;12.5;31.8;37.2;9.6
Noisette grillée, salée;664;13.4;7.67;61.2;9.43
Lin, brun, graine;533;18;3.56;42.2;26.9
Cacahuète, grillée, sans sel ajouté;644;23.5;14.4;51.9;5.7
Noix de cajou, grillée, sans sel ajouté;618;17.4;21.3;48.1;8.4
Noix de cajou, grillée à sec, sans sel ajouté;630;17.4;23.5;49;5.7
Cacahuète, grillée, aromatisée;598;22.8;14.6;46.6;7.8
Cacahuète caramélisée ou chouchou;544;12.9;51.4;29.7;6.1
Mélange apéritif de graines grillées, salées;637;18.6;9.69;54.7;10.5
Amande, grillée, salée, goût fumé;629;18.6;9.01;54;8.25
Chanvre ou chènevis, graine décortiquée;617;30.8;5.38;48.8;4
Courge, graine, séchée;618;29.5;5.39;49.1;6
Fruits à coques et cacahuète, salé (aliment moyen);630;20.4;17.6;50.1;7.13
Fruits à coques et cacahuète, sans sel ajouté (aliment moyen);632;15.5;10.5;55;10.7
Pâte d'amande, préemballée;432;5.8;70.3;13.5;2.8
Beurre de cacahuète ou pâte d'arachide;643;22.2;17.3;51.4;5
Tahin ou purée de sésame;631;17.7;13.8;53.4;7
Huile ou beurre de cacao;900;0;0;100;0
Huile ou graisse de coco, sans précision;897;0;0.41;99.5;0
Huile ou graisse de coco, vierge;899;0.16;0;99.9;0
Huile ou graisse de coco (coprah), raffinée;900;0;0;100;0
Matière grasse ou graisse végétale solide (type margarine) pour friture ou graisse à frire;898;0.25;0;99.8;0
Huile ou beurre de karité;900;0;0;100;0
Huile pour friture, sans précision;900;0;0;100;0
Huile de palme, raffinée;900;0;0;100;0
Huile ou graisse de palmiste, sans précision;900;0;0;100;0
Beurre à 80% MG minimum, doux;753;0.64;0.71;83;0
Huile de beurre ou beurre concentré;900;0.28;0;99.9;0
Beurre à 80% MG, demi-sel;725;0.75;0.5;80;0
Beurre à 80% MG, salé;732;0.5;0.68;80.8;0
Beurre à 80% MG minimum, doux, tendre;755;0.7;0.5;83.4;0
Beurre à 60-62% MG, à teneur réduite en matière grasse, doux;550;0.56;0.7;60.6;0
Beurre à 60-62% MG, à teneur réduite en matière grasse, demi-sel;555;0.92;0.5;61;0
Beurre ou assimilé allégé (léger ou à teneur réduite en matière grasse), doux (aliment moyen);367;0.34;3.7;39.1;0
Beurre sans précision sur la teneur en matière grasse (allégé ou non), demi-sel (aliment moyen);712;0.75;0.53;78.6;0
Beurre ou assimilé sans précision sur la teneur en matière grasse, doux (aliment moyen);731;0.63;0.88;80.5;0
Beurre à 39-41% MG, léger, doux;390;0.26;3.6;41.7;0
Beurre à 39-41% MG, léger, demi-sel;376;0;4;40;0
Saindoux;900;0;0;100;0
Lard gras, cru;810;2.92;0;88.7;0
Graisse de poulet;898;0;0;99.8;0
Graisse de canard;898;0;0;99.8;0
Graisse d'oie;898;0;0;99.8;0
Graisse de dinde;898;0;0;99.8;0
Matière grasse tartinable à teneur en MG <= 41%, doux, aux stérols végétaux;321.2;0.25;1.3;35;0
Matière grasse tartinable à teneur en MG > 62%, doux, riche en oméga 3;616;0;0;67.7;3.6
Matière grasse tartinable à teneur en MG > 62%, doux, standard;650;0.02;0.09;72.1;0.13
Matière grasse tartinable à teneur en MG > 41% et <= 62%, doux, standard;540;0.25;0.14;60;0
Matière grasse tartinable à teneur en MG <= 41%, doux, standard;366;1.44;2.94;38.6;0
Matière grasse tartinable à teneur en MG > 62%, demi-sel, standard;630;0.25;0;70;0
Matière grasse tartinable à teneur en MG > 41% et <= 62%, demi-sel, standard;516;0;0.34;57.3;0
Matière grasse tartinable à teneur en MG > 41% et <= 62%, doux, aux stérols végétaux;547;0.25;0;60.8;0
Matière grasse tartinable à teneur en MG > 41% et <= 62%, doux, riche en oméga 3;508;0.08;0.12;56.4;0.09
Matière grasse tartinable à teneur en MG > 41% et <= 62%, demi-sel, riche en oméga 3;506;0;0;56.3;0
Matière grasse tartinable à teneur en MG <= 41%, demi-sel, aux stérols végétaux;321;0.25;1.4;35;0
Matière grasse tartinable à teneur en MG <= 41%, doux, riche en oméga 3;308;0;0.4;34;0
Matière grasse tartinable à teneur en MG <= 41%, demi-sel, standard;356;0.75;2.8;38;0
Matière grasse tartinable, sans précision sur la teneur en matière grasse, doux, standard (aliment moyen);557;0.31;0.43;61.7;0.04
Matière grasse tartinable, sans précision sur la teneur en matière grasse, demi-sel, standard (aliment moyen);502;0.12;0.66;55.5;0
Matière grasse tartinable, sans précision sur la teneur en matière grasse, doux, riche en oméga 3 (aliment moyen);501;0.08;0.13;55.6;0.09
Matière grasse laitière à 15-25% MG, légère, "à tartiner", doux, enrichie en vitamine(s);197;0.25;6.2;19.1;0
Huile végétale (aliment moyen);899;0.18;0.03;99.9;0
Huile de noyaux d'abricot;900;0;0;100;0
Huile d'amande;900;0;0;100;0
Huile d'arachide;899;0.25;0;99.9;0
Huile d'avocat;900;0;0;100;0
Huile de germe de blé;900;0;0;100;0
Huile de colza;900;0;0;100;0
Huile de coton;900;0;0;100;0
Huile de lin;900;0;0.02;100;0
Huile de maïs;900;0;0;100;0
Huile de noisette;900;0;0;100;0
Huile de noix;900;0;0;100;0
Huile d'olive vierge extra;899;0.25;0;99.9;0
Huile de pavot;900;0;0;100;0
Huile de pépins de raisin;900;0;0;100;0
Huile de son de riz;900;0;0;100;0
Huile de sésame;900;0;0;100;0
Huile de soja;900;0;0;100;0
Huile de tournesol;900;0.25;0;100;0
Huile de foie de morue;900;0;0;100;0
Huile de sardine;900;0;0;100;0
Huile de saumon;900;0;0;100;0
Huile de hareng;900;0;0;100;0
Huile combinée (mélange d'huiles);897;0;0.49;99.5;0
Huile combinée, mélange d'huile d'olive et de graines;900;0;0;100;0
Huile de chanvre;900;0;0;100;0
Huile d'argan ou d'argane;889;0;0;98.7;0
Boisson gazeuse aromatisée, sans fruit, sans sucres ajoutés, avec édulcorants;0.23;0;0.06;0;0
Café, moulu;341;13.9;20.3;13.9;39.7
Café, non instantané, sans sucres ajoutés, prêt à boire;5.78;0.25;1.35;0.02;0
Café, poudre soluble;291;18.5;41.9;1.1;20
