alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Fibres (g/100 g)
Smoothie, sans précision sur la teneur en fruits et les ingrédients autres que fruits;60.2;0.62;12.9;0.26;1.08
Lait 1er âge, poudre soluble (préparation pour nourrissons);496;10.9;55;25.3;2.48
Lait 2e âge, poudre soluble (préparation de suite);484;11.6;56.3;23.2;2.14
Tapioca ou perles du Japon, cru;354;0.19;87.8;0.02;0.9
Pomme de terre, sans peau, rôtie/cuite au four;91.9;1.96;20.1;0.1;1.5
Pomme de terre, bouillie/cuite à l'eau;81;1.8;16.8;0.34;1.8
Chips de pommes de terre nature ou aromatisées;532;6;51;32.7;4.7
Pomme de terre nouvelle ou primeur, bouillie/cuite à l'eau;71.6;1.44;15;0.3;1.6
Pomme de terre, sans peau, crue;80;2.02;16.2;0.09;2.2
Pomme de terre, appertisée, égouttée;57.2;1.58;10.7;0.41;2.15
Pomme de terre noisette, surgelée, à cuire;179;2.44;25.3;7.02;2.42
Pomme de terre vapeur, sous vide;76;1.84;15.8;0.25;2.02
Pomme de terre poêlée, avec matière grasse;137;2.5;17.3;5.7;2.6
Flocons de pomme de terre, au lait ou à la crème, déshydratés;376;10.1;71;3.97;8
Purée de pomme de terre, à base de flocons, reconstituée avec lait entier et matière grasse;107;1.92;12.6;5.18;1.47
Purée de pomme de terre, avec lait et beurre, sans sel ajouté;94.8;1.89;15.7;2.4;1.5
Purée de pomme de terre, à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée;68.5;2.63;12.4;0.53;1.8
Pomme de terre dauphine, surgelée, à cuire;242;4.25;19.7;15.7;2.27
Pomme de terre dauphine, surgelée, cuite;302;4.5;30.2;17.7;2
Flocons de pomme de terre, nature, déshydratés;346;8;73.5;0.41;8.05
Pomme de terre nouvelle ou primeur, crue;76.4;1.94;15.8;0.3;1.35
Potatoes ou wedges ou quartiers de pommes de terre épicés, surgelées, cuites;175;3.25;25.3;5.8;3.4
Pomme de terre, rôtie/cuite au four;91.4;2.5;19;0.13;2.2
Pomme de terre sautée/poêlée/rissolée, préfrite, surgelée, cuite;156;2.81;23;4.8;4
Pomme de terre de conservation, sans peau, bouillie/cuite à l'eau;72.6;1.81;15.4;0;1.9
Pomme de terre nouvelle ou primeur, bouillie/cuite à l'eau, sans peau;71.1;1.84;14.9;0;2.13
Frites de pommes de terre, surgelées, rôties/cuites au four;213;3.75;32.6;6.6;4.2
Frites de pommes de terre, surgelées, cuites en friteuse;258;3.28;32.7;11.9;3.9
Pomme de terre duchesse, surgelée, cuite;218;3.44;29.6;8.5;4.8
Pomme de terre noisette, surgelée, cuite;191;2.81;28.4;6.6;3.4
Pomme de terre sautée/poêlée/rissolée à la graisse de canard;200;2.44;20.8;11.4;2.33
Chips de pommes de terre nature ou aromatisées, à l'ancienne;551;5.62;46.7;36.9;4.7
Chips de pommes de terre nature ou aromatisées, allégées en matière grasse (et assimilés );481;6.57;61.4;22.1;4.78
Rostis ou galette de pomme de terre;182;2.38;22.5;8.3;3.3
Purée de pomme de terre, avec lait et beurre, salée;117;1.98;11.3;6.7;1.79
Aligot (purée de pomme de terre à la tomme fraîche), préemballé;195;8.06;9.5;13.3;1.3
Pomme de terre duchesse, surgelée, à cuire;157;2.41;21.4;6.26;2.54
Pomme de terre sautée/poêlée/rissolée, préfrite, surgelée, à cuire;137;2.35;20.4;4.5;2.54
Frites de pommes de terre, surgelées, préfrites, pour cuisson au four;142;2.38;21;4.73;2.77
Frites de pommes de terre, surgelées, préfrites, pour cuisson micro-onde;223;3.26;27.2;10.2;4.39
Frites de pommes de terre, surgelées, préfrites, pour cuisson en friteuse;244;3.12;29.1;12.1;3.39
Purée de pomme de terre (aliment moyen);96.8;2.1;13;3.7;1.64
Pomme de terre, cuite (aliment moyen);94.9;2.05;17.2;1.58;2.15
Croquette de pomme de terre, surgelée, à cuire;164;2.52;22.4;6.59;2.43
Chips de pommes de terre nature ou aromatisées, sans sel ajouté;503;6.2;47.6;30.8;5.05
Poêlée de pommes de terre à la sarladaise (graisse de canard, ail et persil), surgelée, à cuire;203;2.27;20.9;11.6;2.84
Potatoes ou wedges ou quartiers de pommes de terre épicés, surgelées, à cuire;141;2.48;20.3;5;2.64
Pomme de terre grenaille, préfrite, surgelée, à cuire;133;2.4;17.9;5.3;2.16
Fécule de pomme de terre;348;0;86.3;0.2;0.55
Patate douce, crue;81.2;1.57;17.1;0.05;3
Patate douce, cuite;79.1;1.69;16.3;0.15;2.9
Patate douce, purée, cuisinée à la crème;79.8;1.1;12.1;2;4.5
Bière brune;40.5;0.43;4.1;0;0
Bière "coeur de marché" (4-5° alcool);39;0.39;3.12;0;0
Bière forte (>8° alcool);62.5;0.51;4.6;0;0
Cidre (aliment moyen);36.5;0.07;3.67;0;0
Panaché (limonade et bière);39;0;6.33;0;0
Panaché préemballé (<1° alc.), aromatisé ou non;32;0;7.11;0.02;0.21
Cidre brut;35.9;0;2.62;0;0
Cidre doux;38.9;0.25;6.4;0;0
Bière faiblement alcoolisée (3° alcool);35.3;0.31;4.62;0;0
Bière blanche;60.9;0.5;7.55;0;0
Bière "spéciale" (5-6° alcool);56;0.48;4.55;0;0
Bière "de spécialités" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable);47.1;0.51;3.2;0;0
Cidre traditionnel;32.5;0;1.87;0;0
Cidre bouché demi-sec;44.3;0.25;4.4;0;0
Cidre aromatisé aux fruits;38.4;0.25;7.07;0;0
Bière sans alcool, sucrée, aromatisée ou au jus de fruits;30.6;0.2;7.36;0.04;0.19
Bière sans alcool (<1,2° alcool) et sans sucres ajoutés, aromatisée ou non;29.4;0.2;6.08;0.05;0
Pétillant de fruits;65.7;0;6.95;0;0
Vin blanc mousseux;72.3;0.1;1.78;0;0
Champagne;76.1;0.3;1.4;0;0
Vin blanc mousseux aromatisé;83.5;0.2;5.1;0;0
Vin (aliment moyen);76.7;0.16;0.96;0;0
Vin rouge;75.7;0.16;0;0;0
Vin blanc sec;55.3;0.25;0.17;0;0
Vin rosé;69.2;0.15;1.4;0;0
Vin cuisiné (alcool évaporé);15;0.1;3.66;0;0
Alcool fort (type rhum), cuisiné (alcool évaporé);0;0;0;0;0
Boeuf, côte crue;251;18.7;0;19.6;0
Boeuf, épaule crue;130;21.4;0;4.97;0
Boeuf, basse-côte crue;201;19;1.45;13.2;0
Boeuf, entrecôte, partie maigre grillée/poêlée;198;25.5;0;10.7;0
Boeuf braisé;240;32.1;0;12.4;0
Boeuf, gîte à la noix cru;187;20.7;0;11.5;0
Boeuf, entrecôte crue;231;19.4;0;17.1;0
Boeuf, gîte à la noix cuit;102;21;0.2;1.9;0
Boeuf, faux-filet rôti/cuit au four;194;28.8;0;8.71;0
Boeuf, rond de gîte cru;111;22.9;0.38;2.02;0
Boeuf, faux-filet grillé/poêlé;182;27.1;0;8.17;0
Boeuf, faux-filet cru;152;22.3;0.6;6.74;0
Boeuf, filet cru;132;21.6;0.22;4.95;0
Boeuf, plat de côtes cru;287;18.4;0;23.7;0
Boeuf, plat de côtes braisé ou bouilli/cuit à l'eau;269;37.3;0;13.3;0
Boeuf, hampe crue;154;19;0;8.63;0
Boeuf, hampe grillée/poêlée;174;21.6;0;9.76;0
Boeuf, joue crue;136;22.3;0.4;5.02;0
Boeuf, joue, braisée ou bouillie/cuite à l'eau;236;39.2;0;8.82;0
Boeuf, jarret cru;38.25;0;0;4.25;0
Boeuf, jarret bouilli/cuit à l'eau;161;31;0;4.1;0
Boeuf, tende de tranche crue;116;23.1;0.57;2.34;0
Boeuf, tende de tranche grillée/poêlée;141;28.7;0;2.92;0
Boeuf, tende de tranche rôtie/cuite au four;146;29.8;0;3.03;0
Boeuf, steak ou bifteck grillé/poêlé;128;27.6;0;1.95;0
Boeuf, steak ou bifteck cru;229;18.7;0.06;17.2;0
Boeuf, boule de macreuse crue;118;21.8;0;3.36;0
Boeuf, onglet cru;138;19.9;0.62;6.18;0
Boeuf, onglet grillé/poêlé;171;23;0;8.8;0
Boeuf, rumsteck cru;118;23.5;0.4;2.5;0
Boeuf, rumsteck grillé/poêlé;138;29;0;2.1;0
Boeuf, boule de macreuse grillée/poêlée;144;26.7;0;4.11;0
Boeuf, rosbif rôti/cuit au four;126;24.1;0.3;3.16;0
Boeuf, bavette d'aloyau grillée/poêlée;162;25;0;6.94;0
Boeuf, bavette d'aloyau crue;133;20.4;0;5.67;0
Boeuf, boule de macreuse rôtie/cuite au four;147;27.3;0;4.2;0
Boeuf, à bourguignon ou pot-au-feu, cuit;172;34;0;4.05;0
Boeuf, à bourguignon ou pot-au-feu, cru;164;24;0;7.5;0
Boeuf, collier cru;198;20.1;0.78;12.7;0
Boeuf, collier braisé;184;33;0;5.8;0
Boeuf, steak haché 5% MG cru;130;21.9;0.3;4.59;0
Boeuf, steak haché 5% MG cuit;155;25.5;0;5.85;0
Boeuf, steak haché 10% MG cru;170;20;0;10;0
Boeuf, steak haché 10% MG cuit;210;26.1;0;11.8;0
Boeuf, steak haché 15% MG cru;215;20.2;0.47;14.8;0
Boeuf, steak haché 15% MG cuit;239;23.6;0;16.1;0
Boeuf, steak haché 20% MG cru;249;17.2;0;20;0
Boeuf, steak haché 20% MG cuit;265;23;0;19.2;0
Boeuf, steak haché, cuit (aliment moyen);229;23.8;0;14.9;0
Boeuf, paleron cru;144;21.2;0;6.54;0
Boeuf, paleron, braisé ou bouilli/cuit à l'eau;251;36.8;0.2;11.4;0
Boeuf, queue bouillie/cuite à l'eau;196;28;0;9.3;0
Boeuf, queue crue;203;21.5;0.23;12.9;0
Veau, côte crue;189;18.3;0;12.9;0
Veau, côte grillée/poêlée;156;25.1;0;6.24;0
Veau, carré grillé/poêlé;171;28;0;6.6;0
Veau, carré cru;128;19.3;0.4;5.44;0
Veau, escalope cuite;147;31;0;2.5;0
Veau, escalope crue;114;20.5;0.58;3.28;0
Veau, noix,crue;111;21.8;0;2.58;0
Veau, noix grillée/poêlée;147;29.1;0;3.44;0
Veau, noix rôtie/cuite au four;147;29.1;0;3.44;0
Veau, filet cru;95;20.6;0;1.4;0
Veau, filet rôti/cuit au four;212;24.8;0.5;12.3;0
Veau, steak haché 20% MG cru;243;16.7;0.4;19.5;0
Veau, steak haché 15% MG cru;208;18.2;0;15;0
Veau, poitrine crue;203;17.5;0;14.8;0
Veau, rôti cru;145;27.3;0;3.96;0
Veau, rôti cuit;143;28.1;0;3.39;0
Veau, épaule crue;124;20.7;0;4.63;0
Veau, épaule grillée/poêlée;166;27.6;0;6.17;0
Veau, épaule braisée ou bouillie;219;36.4;0;8.14;0
Veau, viande, cuite (aliment moyen);164;29.1;0.01;5.25;0
Veau, pied cru;184;19.1;0;12;0
Veau, jarret braisé ou bouilli;207;37.4;0;6.43;0
Veau, tête, bouillie/cuite à l'eau;187;21;0;11.4;0
Veau, jarret cru;118;21.3;0;3.66;0
Viande blanche, cuite (aliment moyen);177;28;0.1;7.12;0
Viande rouge, cuite (aliment moyen);170;26.3;0.03;7.22;0
Veau, collier cru;133;19.8;0;5.92;0
Veau, collier braisé ou bouilli;233;34.9;0;10.4;0
Cheval, viande crue;132;20.2;0.5;5.5;0
Cheval, steak ou bifteck cru;129;21.4;0.4;4.6;0
Cheval, viande rôtie/cuite au four;138;28;0;2.85;0
Cheval, tende de tranche crue;106;22.7;0;1.68;0
Cheval, faux-filet cru;121;22.2;0;3.58;0
Cheval, entrecôte crue;118;22.1;0;3.34;0
Cheval, tende de tranche grillée/poêlée;135;27.9;0;2.58;0
Cheval, faux-filet grillé/poêlé;163;26.6;0;6.27;0
Cheval, entrecôte grillée/poêlée;169;28.2;0;6.24;0
Cheval, faux-filet rôti/cuit au four;173;28.3;0;6.68;0
Cheval, tende de tranche rôtie/cuite au four;144;29.7;0;2.75;0
Viande cuite (aliment moyen);174;27.2;0.14;7.18;0.01
Pain (aliment moyen);276;8.18;55;1.36;3.86
Pain blanc (par ex. : baguette, boule…);287;8.27;58.3;1.4;2.7
Pain au levain;261;7.41;53.1;1.3;2.1
Pain blanc, passé au grille-pain;317;9.46;64;1.3;3.7
Pain de tradition française (par ex. : baguette, boule…);279;8.15;56.7;1;3.8
Pain blanc précuit, à finir de cuire, préemballé;265;7.13;53.9;1.2;3.5
Pain bis (à la farine T80 ou T110);265;8.6;54;0.33;4.2
Pain sans gluten précuit, à finir de cuire, préemballé;234;2.88;39.8;5.29;7.22
Pain aux céréales et/ou aux graines, préemballé;282;8.27;39.7;7.6;5.8
Pain de campagne, préemballé;257;6.68;48.7;2.81;3.75
Pain de campagne;253;7.52;50;1.3;4.3
Pain complet au seigle, préemballé;213;5.7;39.5;0.9;8.2
Pain aux graines sans gluten, préemballé;266;4.74;38.8;8.55;6.76
Pain de mie complet, sans croûte, préemballé;245;7.07;42.8;3.2;6.6
Pain complet ou intégral (à la farine T150);234;8.66;41.2;1.7;7.3
Pain de mie complet, préemballé;257;7.3;41.8;4.1;7.3
Pain de mie aux céréales et/ou graines, préemballé;290;8.84;43.5;6.6;5.9
Pain azyme, préemballé;372;10.7;74.9;1.67;5.41
Pain au son;244;8.3;44.4;1.94;6.21
